1	n1
1	n2
1	n3
1	n4
1	n5
2	y2
2	n1
2	n3
2	n4
2	n5
3	y5
3	n1
3	n2
3	n3
3	n4
4	y1
4	n2
4	n3
4	n4
4	n5
5	y3
5	n1
5	n2
5	n4
5	n5
6	y2
6	y5
6	n1
6	n3
6	n4
7	y1
7	y2
7	n3
7	n4
7	n5
8	y1
8	y5
8	n2
8	n3
8	n4
9	y2
9	y3
9	n1
9	n4
9	n5
10	y3
10	y5
10	n1
10	n2
10	n4
11	y4
11	n1
11	n2
11	n3
11	n5
12	y1
12	y3
12	n2
12	n4
12	n5
13	y1
13	y2
13	y5
13	n3
13	n4
14	y2
14	y3
14	y5
14	n1
14	n4
15	y2
15	y4
15	n1
15	n3
15	n5
16	y1
16	y2
16	y3
16	n4
16	n5
17	y4
17	y5
17	n1
17	n2
17	n3
18	y1
18	y3
18	y5
18	n2
18	n4
19	y1
19	y4
19	n2
19	n3
19	n5
20	y3
20	y4
20	n1
20	n2
20	n5
21	y2
21	y4
21	y5
21	n1
21	n3
22	y1
22	y2
22	y3
22	y5
22	n4
23	y1
23	y2
23	y4
23	n3
23	n5
24	y1
24	y4
24	y5
24	n2
24	n3
25	y2
25	y3
25	y4
25	n1
25	n5
26	y3
26	y4
26	y5
26	n1
26	n2
27	y1
27	y3
27	y4
27	n2
27	n5
28	y1
28	y2
28	y4
28	y5
28	n3
29	y2
29	y3
29	y4
29	y5
29	n1
30	y1
30	y2
30	y3
30	y4
30	n5
31	y1
31	y3
31	y4
31	y5
31	n2
32	y1
32	y2
32	y3
32	y4
32	y5
33	n1
33	n2
33	n3
33	n4
33	n5
34	n1
34	n2
34	n3
34	n4
34	n5
35	n1
35	n2
35	n3
35	n4
35	n5
36	n1
36	n2
36	n3
36	n4
36	n5
37	n1
37	n2
37	n3
37	n4
37	n5
38	n1
38	n2
38	n3
38	n4
38	n5
39	n1
39	n2
39	n3
39	n4
39	n5
40	n1
40	n2
40	n3
40	n4
40	n5
41	n1
41	n2
41	n3
41	n4
41	n5
42	n1
42	n2
42	n3
42	n4
42	n5
43	n1
43	n2
43	n3
43	n4
43	n5
44	n1
44	n2
44	n3
44	n4
44	n5
45	n1
45	n2
45	n3
45	n4
45	n5
46	n1
46	n2
46	n3
46	n4
46	n5
47	n1
47	n2
47	n3
47	n4
47	n5
48	n1
48	n2
48	n3
48	n4
48	n5
49	n1
49	n2
49	n3
49	n4
49	n5
50	n1
50	n2
50	n3
50	n4
50	n5
51	n1
51	n2
51	n3
51	n4
51	n5
52	n1
52	n2
52	n3
52	n4
52	n5
53	n1
53	n2
53	n3
53	n4
53	n5
54	n1
54	n2
54	n3
54	n4
54	n5
55	n1
55	n2
55	n3
55	n4
55	n5
56	n1
56	n2
56	n3
56	n4
56	n5
57	n1
57	n2
57	n3
57	n4
57	n5
58	n1
58	n2
58	n3
58	n4
58	n5
59	n1
59	n2
59	n3
59	n4
59	n5
60	n1
60	n2
60	n3
60	n4
60	n5
61	n1
61	n2
61	n3
61	n4
61	n5
62	n1
62	n2
62	n3
62	n4
62	n5
63	n1
63	n2
63	n3
63	n4
63	n5
64	n1
64	n2
64	n3
64	n4
64	n5
65	n1
65	n2
65	n3
65	n4
65	n5
66	n1
66	n2
66	n3
66	n4
66	n5
67	n1
67	n2
67	n3
67	n4
67	n5
68	n1
68	n2
68	n3
68	n4
68	n5
69	n1
69	n2
69	n3
69	n4
69	n5
70	n1
70	n2
70	n3
70	n4
70	n5
71	n1
71	n2
71	n3
71	n4
71	n5
72	n1
72	n2
72	n3
72	n4
72	n5
73	n1
73	n2
73	n3
73	n4
73	n5
74	n1
74	n2
74	n3
74	n4
74	n5
75	n1
75	n2
75	n3
75	n4
75	n5
76	n1
76	n2
76	n3
76	n4
76	n5
77	n1
77	n2
77	n3
77	n4
77	n5
78	n1
78	n2
78	n3
78	n4
78	n5
79	n1
79	n2
79	n3
79	n4
79	n5
80	n1
80	n2
80	n3
80	n4
80	n5
81	n1
81	n2
81	n3
81	n4
81	n5
82	n1
82	n2
82	n3
82	n4
82	n5
83	n1
83	n2
83	n3
83	n4
83	n5
84	n1
84	n2
84	n3
84	n4
84	n5
85	n1
85	n2
85	n3
85	n4
85	n5
86	n1
86	n2
86	n3
86	n4
86	n5
87	n1
87	n2
87	n3
87	n4
87	n5
88	n1
88	n2
88	n3
88	n4
88	n5
89	n1
89	n2
89	n3
89	n4
89	n5
90	n1
90	n2
90	n3
90	n4
90	n5
91	n1
91	n2
91	n3
91	n4
91	n5
92	n1
92	n2
92	n3
92	n4
92	n5
93	n1
93	n2
93	n3
93	n4
93	n5
94	n1
94	n2
94	n3
94	n4
94	n5
95	n1
95	n2
95	n3
95	n4
95	n5
96	n1
96	n2
96	n3
96	n4
96	n5
97	n1
97	n2
97	n3
97	n4
97	n5
98	n1
98	n2
98	n3
98	n4
98	n5
99	n1
99	n2
99	n3
99	n4
99	n5
100	n1
100	n2
100	n3
100	n4
100	n5
101	n1
101	n2
